Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
Raising your children alone without any support would have been so hard and I just think about it and it gives me a chill to the marrow .,chill to the marrow,to be extremely cold or frightened,"```json
{
  ""English idiom"": ""chill to the marrow"",
  ""English definition"": ""To cause someone to feel an extreme, penetrating sense of fear or dread."",
  ""Chinese idiom 1"": ""毛骨悚然"",
  ""Chinese idiom 2"": ""不寒而栗"",
  ""Chinese idiom 3"": ""胆战心惊""
}
```",毛骨悚然,"'chill to the marrow' means '毛骨悚然'. Given the above knowledge, translate the following sentence to Chinese: 'Raising your children alone without any support would have been so hard and I just think about it and it gives me a chill to the marrow .'",独自抚养孩子，没有任何支持将会非常艰难，只是一想到这个就让我毛骨悚然。,独自抚养孩子没有任何支持会非常困难，我一想到这就感到毛骨悚然。,3,3,3,2
I believed that she was my friend and I ca n't believe that she stabbed me in the back .,stab in the back,"to betray or deceive someone, especially in a sneaky or underhanded way","```json
{
    ""English idiom"": ""stab in the back"",
    ""English definition"": ""To betray someone who trusts you."",
    ""Chinese idiom 1"": ""背信弃义"",
    ""Chinese idiom 2"": ""背后捅刀子"",
    ""Chinese idiom 3"": ""出卖朋友""
}
```",背后捅刀子,"'stab in the back' means '背后捅刀子'. Given the above knowledge, translate the following sentence to Chinese: 'I believed that she was my friend and I ca n't believe that she stabbed me in the back .'",我相信她是我的朋友，我无法相信她竟然在背后捅了我一刀。,我相信她是我的朋友，但我无法相信她在背后捅了我一刀。,3,3,3,3
"Stuart and Harry had been friends once , but after they had a big fallout a few years back , now there is little love lost between them .",no love lost,to have a mutual dislike or animosity towards each other,"```json
{
  ""English idiom"": ""no love lost"",
  ""English definition"": ""There is mutual dislike between two people."",
  ""Chinese idiom 1"": ""水火不容"",
  ""Chinese idiom 2"": ""势不两立"",
  ""Chinese idiom 3"": ""针锋相对""
}
```",水火不容,"'no love lost' means '水火不容'. Given the above knowledge, translate the following sentence to Chinese: 'Stuart and Harry had been friends once , but after they had a big fallout a few years back , now there is little love lost between them .'",Stuart和Harry曾经是朋友，但几年前发生了严重的争执，现在他们之间水火不容。,斯图尔特和哈里曾经是朋友，但几年前他们大吵了一架，现在他们水火不容。,3,3,3,3
"If you want to be head and shoulders above the rest , you must work very hard .",head and shoulders above,far superior; much better than,"```json
{
  ""English idiom"": ""head and shoulders above"",
  ""English definition"": ""To be significantly better than someone or something; to be superior in quality or ability."",
  ""Chinese idiom 1"": ""出类拔萃"",
  ""Chinese idiom 2"": ""鹤立鸡群"",
  ""Chinese idiom 3"": ""技高一筹""
}
```",出类拔萃,"'head and shoulders above' means '出类拔萃'. Given the above knowledge, translate the following sentence to Chinese: 'If you want to be head and shoulders above the rest , you must work very hard .'",如果你想要出类拔萃，你必须努力工作。,如果你想要出类拔萃，你必须非常努力地工作。,3,3,3,3
At the end of a very busy term the teachers will finally be able to see the light of day .,see the light,to finally understand something; to gain insight or realization,"```json
{
  ""English idiom"": ""see the light"",
  ""English definition"": ""To understand or realize something after a period of ignorance or misunderstanding."",
  ""Chinese idiom 1"": ""恍然大悟"",
  ""Chinese idiom 2"": ""豁然开朗"",
  ""Chinese idiom 3"": """"
}
```",恍然大悟,"'see the light' means '恍然大悟'. Given the above knowledge, translate the following sentence to Chinese: 'At the end of a very busy term the teachers will finally be able to see the light of day .'",在一个非常忙碌的学期结束时，老师们终于能看到一线曙光。,在一个非常忙碌的学期结束时，老师们终于能够见到天日了。,3,3,3,3
The business proposal has taken a quantum leap from when I saw it the last time .,quantum leap,a significant and often sudden advancement or improvement,"```json
{
  ""English idiom"": ""quantum leap"",
  ""English definition"": ""A sudden and significant change or advancement."",
  ""Chinese idiom 1"": ""突飞猛进"",
  ""Chinese idiom 2"": ""翻天覆地"",
  ""Chinese idiom 3"": ""日新月异""
}
```",突飞猛进,"'quantum leap' means '突飞猛进'. Given the above knowledge, translate the following sentence to Chinese: 'The business proposal has taken a quantum leap from when I saw it the last time .'",这个商业提案已经从我上次看到它时突飞猛进。,那个商业提案自从我上次看到它以来已经有了突飞猛进的发展。,3,3,3,3
The guest became an absolute pain for the hosts and they were really pleased to see the back of them .,to see the back of,to be glad when someone or something leaves or departs,"```json
{
  ""English idiom"": ""to see the back of"",
  ""English definition"": ""To be glad to see someone leave, indicating relief or happiness that they are going away."",
  ""Chinese idiom 1"": ""送佛送到西天"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```","To be glad to see someone leave, indicating relief or happiness that they are going away.","'to see the back of' means 'nan'. Given the above knowledge, translate the following sentence to Chinese: 'The guest became an absolute pain for the hosts and they were really pleased to see the back of them .'",客人给主人带来了麻烦，他们非常高兴终于摆脱了他们。,那位客人让主人非常头疼，他们非常高兴终于把他送走了。,3,3,2,3
"Girl , do n't ride so high already !",ride high,"to be successful, triumphant, or in a position of power or advantage","{
  ""English idiom"": ""ride high"",
  ""English definition"": ""To be very successful or to be in a position of great influence and importance."",
  ""Chinese idiom 1"": ""春风得意"",
  ""Chinese idiom 2"": ""顺风顺水"",
  ""Chinese idiom 3"": ""如日中天""
}",春风得意,"'ride high' means '春风得意'. Given the above knowledge, translate the following sentence to Chinese: 'Girl , do n't ride so high already !'",姑娘，不要春风得意了！,姑娘，别得意忘形了！,2,2,3,3
"With no clear directions in place , the crowd ran amok at the show .",run amok (amuck),"to behave uncontrollably and with wild, unrestrained behavior","```json
{
    ""English idiom"": ""run amok (amuck)"",
    ""English definition"": ""To behave in a frenzied, out-of-control, or disruptive manner."",
    ""Chinese idiom 1"": ""发疯乱跑"",
    ""Chinese idiom 2"": ""横冲直撞"",
    ""Chinese idiom 3"": ""乱七八糟""
}
```",发疯乱跑,"'run amok (amuck)' means '发疯乱跑'. Given the above knowledge, translate the following sentence to Chinese: 'With no clear directions in place , the crowd ran amok at the show .'",在表演现场没有明确的指示，人群发疯乱跑。,由于没有明确的指示，人群在演出时发疯乱跑。,3,3,2,2
I think you need to cut your children some slack on this .,cut some slack,"to be lenient or forgiving, to give someone a break or relax expectations","{
    ""English idiom"": ""cut some slack"",
    ""English definition"": ""To be lenient or less critical towards someone, to allow someone more freedom or leeway than usual."",
    ""Chinese idiom 1"": ""通融一下"",
    ""Chinese idiom 2"": ""宽容对待"",
    ""Chinese idiom 3"": """"
}",通融一下,"'cut some slack' means '通融一下'. Given the above knowledge, translate the following sentence to Chinese: 'I think you need to cut your children some slack on this .'",我觉得你需要在这件事上给孩子们一些通融。,我认为你需要在这件事上对你的孩子们通融一下。,3,3,3,3
They had fewer people turn out for their party than they anticipated,turn out,to happen or develop in a particular way; to result in a certain outcome,"```json
{
  ""English idiom"": ""turn out"",
  ""English definition"": ""To result or end up in a particular way; to be found or discovered to be."",
  ""Chinese idiom 1"": ""事与愿违"",
  ""Chinese idiom 2"": ""水落石出"",
  ""Chinese idiom 3"": ""真相大白""
}
```",水落石出,"'turn out' means '水落石出'. Given the above knowledge, translate the following sentence to Chinese: 'They had fewer people turn out for their party than they anticipated'",他们的派对上的人数比他们预期的要少。,他们的聚会出席人数比预期少。,3,3,3,3
"Ever since his family found out of his theft , he has been under a cloud .",under a cloud,under suspicion or in disfavor; in a state of disgrace or disrepute,"```json
{
  ""English idiom"": ""under a cloud"",
  ""English definition"": ""In a state of suspicion, disgrace, or uncertainty."",
  ""Chinese idiom 1"": ""名誉扫地"",
  ""Chinese idiom 2"": ""众矢之的"",
  ""Chinese idiom 3"": ""灰头土脸""
}
```",众矢之的,"'under a cloud' means '众矢之的'. Given the above knowledge, translate the following sentence to Chinese: 'Ever since his family found out of his theft , he has been under a cloud .'",自从他的家人发现了他的偷窃行为以后，他一直众矢之的。,自从他的家人发现他的偷窃行为以来，他一直处于众矢之的。,2,3,1,1
The politician run out of steam to take any action as soon as the elections get over and I have seen it happen over and over again .,run out of steam,"to lose energy, motivation, or momentum; to tire or exhaust","```json
{
  ""English idiom"": ""run out of steam"",
  ""English definition"": ""To lose energy, motivation, or momentum in an activity or task."",
  ""Chinese idiom 1"": ""力不从心"",
  ""Chinese idiom 2"": ""筋疲力尽"",
  ""Chinese idiom 3"": ""后继乏力""
}
```",力不从心,"'run out of steam' means '力不从心'. Given the above knowledge, translate the following sentence to Chinese: 'The politician run out of steam to take any action as soon as the elections get over and I have seen it happen over and over again .'",这位政客在选举结束后就力不从心，无法采取任何行动，我已经见过很多次了。,这位政客一到选举结束就力不从心，无法采取任何行动，我已经多次见到这种情况。,3,3,3,3
