id,idiom,en_meaning,zh_meaning,ja_meaning
551,brass monkey weather,extremely cold weather,极冷的天气,非常に寒い天候
552,brass neck,a shameless or audacious behavior; displaying confidence or boldness even in the face of criticism or disapproval,厚脸皮/厚颜无耻,厚顔無恥、図々しさ
553,brass tacks,getting down to the basic or practical details,重要的事项、核心问题或关键细节,本題や要点に入ること
554,bread and butter,a person's main source of income or livelihood,某人的主要收入来源,生計を立てる基本的な収入源、主要な仕事または活動
555,bread and circuses,referring to a government's use of diversionary tactics or superficial enjoyment to distract the public from underlying issues or problems,给予人民娱乐和恩惠，以转移公众对政治和社会问题的注意力,人々を満足させるために提供される食料や娯楽
556,break _ back,to work extremely hard or put in a lot of effort in order to achieve something,全力以赴，努力工作,非常に頑張って働くこと、特に困難やプレッシャーのある状況で
557,break _ ice,to initiate or start a conversation or interaction in order to make people feel more comfortable,打破僵局或尴尬气氛,緊張をほぐすために始めの一歩を踏み出す
558,break a leg,"Wish someone good luck, especially before a performance or event.",祝你好运,幸運を祈るために、頑張れ、成功を祈る
559,break a leg!,"to wish someone good luck, especially before a performance or event",祝你好运！,幸運を祈るために『頭を下げないで』と言う、演劇、映画、テレビの業界の表現。
560,break cover,to reveal oneself or come out of hiding,露面，暴露本身（通常是指隐藏或保护身份或真正感受的人或事物）,身を隠していたり、秘密裏に行動していたりすることをやめる
561,break even,to reach a point where the income or gains are equal to the expenses or losses; to neither make a profit nor incur a loss,不盈不亏；收支平衡,（費用と収益が）相殺し、利益も損失もなくなる
562,break new ground,"to do something that has never been done before, or to pioneer a new development or innovation",开辟新天地,新たな領域や進展を開拓する
563,break open,to reveal or expose something that was previously hidden or secret,强行打开或分解,隠れた情報や秘密を明らかにする、普段のルーティンを破る
564,break ranks,to defy authority or go against the group; to act independently or differently from others in a group,背离集体行动或决策,義理や規則に逆らい、集団から離脱すること。
565,break someone's heart,to cause someone great sadness or emotional pain,伤害某人、使某人失望或使某人心碎,誰かの心を傷つける、失望させる、悲しませる
566,break the back of,to complete the most difficult or crucial part of something,克服困难或完成困难的一部分,大部分の仕事や課題を終わらせる
567,break the bank,to spend a lot of money; to be very expensive,花光所有的钱,軍資金を使い果たす
568,break the ice,to initiate or start a conversation or interaction in order to make people feel more comfortable and relaxed,打破沉默或紧张的局面,緊張や不安を和らげるために、初対面の人と会話を始める
569,break the mould,"to do something different or innovative, to challenge conventional ideas or norms",打破常规、突破传统、创新,型にはまらない、新しいやり方を始める
570,break up,end a romantic relationship; dissolve a partnership or group,结束或解散一段关系，特别是一段感情关系；结束或解散一个组织、团体或活动,別れる、解散する、終了する
571,break your back,to work extremely hard or put in a lot of physical effort,努力地工作或奋斗，尽力完成一个任务,非常に努力するか、重い労働に従事すること
572,breast is best,referring to the belief that breastfeeding is the healthiest and most beneficial way to feed a baby,母乳喂养是最好的,母乳が最善
573,breathe down someone's neck,"to closely watch or monitor someone, often causing them to feel pressure or anxiety",紧迫追逐、催逼某人,（特に追跡されているような感覚で）誰かに常に近くいること、圧力をかけること
574,breathe one's last,to die,呼出最后一口气,最後の息を引き取る
575,bricks and mortar,"physical buildings or structures, typically used to refer to traditional businesses or establishments",房子、建筑物或地产的实体部分,実体経済
576,bright and early,to be awake or start work very early in the morning,非常早的时间；早晨一大早,朝早く、明るくて活気がある時間に
